year,decade,rank,title,artist
1975,1970s,98,You Ain't Seen Nothing Yet,Bachman–Turner Overdrive
1975,1970s,99,Swearin' to God,Frankie Valli
1975,1970s,100,Get Dancin',Disco-Tex and the Sex-O-Lettes
1976,1970s,1,Silly Love Songs,Wings
1976,1970s,2,Don't Go Breaking My Heart,Elton John & Kiki Dee
1976,1970s,3,Disco Lady,Johnnie Taylor
1976,1970s,4,"December, 1963 (Oh, What a Night)",The Four Seasons
1976,1970s,5,Play That Funky Music,Wild Cherry
1976,1970s,6,Kiss and Say Goodbye,The Manhattans
1976,1970s,7,Love Machine,The Miracles
1976,1970s,8,50 Ways to Leave Your Lover,Paul Simon
1976,1970s,9,Love Is Alive,Gary Wright
1976,1970s,10,A Fifth of Beethoven,Walter Murphy & The Big Apple Band
1976,1970s,11,Sara Smile,Daryl Hall & John Oates
1976,1970s,12,Afternoon Delight,Starland Vocal Band
1976,1970s,13,I Write the Songs,Barry Manilow
1976,1970s,14,"Fly, Robin, Fly",Silver Convention
1976,1970s,15,Love Hangover,Diana Ross
1976,1970s,16,Get Closer,Seals and Crofts
1976,1970s,17,"More, More, More",Andrea True Connection
1976,1970s,18,Bohemian Rhapsody,Queen
1976,1970s,19,Misty Blue,Dorothy Moore
1976,1970s,20,Boogie Fever,The Sylvers
1976,1970s,21,I'd Really Love to See You Tonight,England Dan & John Ford Coley
1976,1970s,22,You Sexy Thing,Hot Chocolate
1976,1970s,23,Love Hurts,Nazareth
1976,1970s,24,Get Up and Boogie,Silver Convention
1976,1970s,25,Take It to the Limit,Eagles
1976,1970s,26,"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band
1976,1970s,27,Sweet Love,Commodores
1976,1970s,28,Right Back Where We Started From,Maxine Nightingale
1976,1970s,29,Theme from S.W.A.T.,Rhythm Heritage
1976,1970s,30,Love Rollercoaster,Ohio Players
1976,1970s,31,You Should Be Dancing,Bee Gees
1976,1970s,32,You'll Never Find Another Love Like Mine,Lou Rawls
1976,1970s,33,Golden Years,David Bowie
1976,1970s,34,Moonlight Feels Right,Starbuck
1976,1970s,35,Only Sixteen,Dr. Hook
1976,1970s,36,Let Your Love Flow,The Bellamy Brothers
1976,1970s,37,Dream Weaver,Gary Wright
1976,1970s,38,Turn the Beat Around,Vicki Sue Robinson
1976,1970s,39,Lonely Night (Angel Face),Captain & Tennille
1976,1970s,40,All by Myself,Eric Carmen
1976,1970s,41,Love to Love You Baby,Donna Summer
1976,1970s,42,Deep Purple,Donny & Marie Osmond
1976,1970s,43,Theme from Mahogany (Do You Know Where You're Going To),Diana Ross
1976,1970s,44,Sweet Thing,Rufus
1976,1970s,45,That's the Way (I Like It),KC and the Sunshine Band
1976,1970s,46,A Little Bit More,Dr. Hook
1976,1970s,47,Shannon,Henry Gross
1976,1970s,48,If You Leave Me Now,Chicago
1976,1970s,49,Lowdown,Boz Scaggs
1976,1970s,50,Show Me the Way,Peter Frampton
1976,1970s,51,Dream On,Aerosmith
1976,1970s,52,I Love Music,The O'Jays
1976,1970s,53,Say You Love Me,Fleetwood Mac
1976,1970s,54,Times of Your Life,Paul Anka
1976,1970s,55,Devil Woman,Cliff Richard
1976,1970s,56,Fooled Around and Fell in Love,Elvin Bishop
1976,1970s,57,Convoy,C. W. McCall
1976,1970s,58,Welcome Back,John Sebastian
1976,1970s,59,Sing a Song,"Earth, Wind & Fire"
1976,1970s,60,Heaven Must Be Missing an Angel,Tavares
1976,1970s,61,I'll Be Good to You,The Brothers Johnson
1976,1970s,62,Rock and Roll Music,The Beach Boys
1976,1970s,63,Shop Around,Captain & Tennille
1976,1970s,64,Saturday Night,Bay City Rollers
1976,1970s,65,Island Girl,Elton John
1976,1970s,66,Let's Do It Again,The Staple Singers
1976,1970s,67,Let 'Em In,Wings
1976,1970s,68,Baby Face,Wing and a Prayer Fife and Drum Corps
1976,1970s,69,This Masquerade,George Benson
1976,1970s,70,Evil Woman,Electric Light Orchestra
1976,1970s,71,Wham Bam,Silver
1976,1970s,72,I'm Easy,Keith Carradine
1976,1970s,73,Wake Up Everybody,Harold Melvin & the Blue Notes
1976,1970s,74,Summer,War
1976,1970s,75,Let Her In,John Travolta
1976,1970s,76,Fox on the Run,Sweet
1976,1970s,77,Rhiannon,Fleetwood Mac
1976,1970s,78,Got to Get You into My Life,The Beatles
1976,1970s,79,Fanny (Be Tender with My Love),Bee Gees
1976,1970s,80,Getaway,"Earth, Wind & Fire"
1976,1970s,81,She's Gone,Daryl Hall & John Oates
1976,1970s,82,Still the One,Orleans
1976,1970s,83,You're My Best Friend,Queen
1976,1970s,84,With Your Love,Jefferson Starship
1976,1970s,85,Slow Ride,Foghat
1976,1970s,86,Who'd She Coo?,Ohio Players
1976,1970s,87,The Boys Are Back in Town,Thin Lizzy
1976,1970s,88,Walk Away from Love,David Ruffin
1976,1970s,89,"Baby, I Love Your Way (Live)",Peter Frampton
1976,1970s,90,Young Hearts Run Free,Candi Staton
1976,1970s,91,Breaking Up Is Hard to Do,Neil Sedaka
1976,1970s,92,Money Honey,Bay City Rollers
1976,1970s,93,Give Up the Funk (Tear the Roof off the Sucker),Parliament
1976,1970s,94,Junk Food Junkie,Larry Groce
1976,1970s,95,Tryin' to Get the Feeling Again,Barry Manilow
1976,1970s,96,Rock and Roll All Nite (Live),Kiss
1976,1970s,97,Disco Duck,Rick Dees & His Cast of Idiots
1976,1970s,98,Take the Money and Run,Steve Miller Band
1976,1970s,99,Squeeze Box,The Who
1976,1970s,100,Country Boy (You Got Your Feet in L.A.),Glen Campbell
1977,1970s,1,Tonight's the Night (Gonna Be Alright),Rod Stewart
1977,1970s,2,I Just Want to Be Your Everything,Andy Gibb
1977,1970s,3,Best of My Love,The Emotions
1977,1970s,4,Evergreen (Love Theme from A Star Is Born),Barbra Streisand
1977,1970s,5,Angel in Your Arms,Hot
1977,1970s,6,I Like Dreamin',Kenny Nolan
1977,1970s,7,Don't Leave Me This Way,Thelma Houston
1977,1970s,8,(Your Love Has Lifted Me) Higher and Higher,Rita Coolidge
1977,1970s,9,Undercover Angel,Alan O'Day
1977,1970s,10,Torn Between Two Lovers,Mary MacGregor
1977,1970s,11,I'm Your Boogie Man,KC and the Sunshine Band
1977,1970s,12,Dancing Queen,ABBA
1977,1970s,13,You Make Me Feel Like Dancing,Leo Sayer
1977,1970s,14,Margaritaville,Jimmy Buffett
1977,1970s,15,Telephone Line,Electric Light Orchestra
1977,1970s,16,Whatcha Gonna Do?,Pablo Cruise
1977,1970s,17,Do You Wanna Make Love,Peter McCann
1977,1970s,18,Sir Duke,Stevie Wonder
1977,1970s,19,Hotel California,Eagles
1977,1970s,20,Got to Give It Up,Marvin Gaye
1977,1970s,21,Gonna Fly Now,Bill Conti
1977,1970s,22,Southern Nights,Glen Campbell
1977,1970s,23,Rich Girl,Hall & Oates
1977,1970s,24,When I Need You,Leo Sayer
1977,1970s,25,Hot Line,The Sylvers
1977,1970s,26,Car Wash,Rose Royce
1977,1970s,27,You Don't Have to Be a Star (To Be in My Show),Marilyn McCoo & Billy Davis Jr.
1977,1970s,28,Fly Like an Eagle,Steve Miller Band
1977,1970s,29,Don't Give Up on Us,David Soul
1977,1970s,30,On and On,Stephen Bishop
1977,1970s,31,Feels Like the First Time,Foreigner
1977,1970s,32,Couldn't Get It Right,Climax Blues Band
1977,1970s,33,Easy,Commodores
1977,1970s,34,Right Time of the Night,Jennifer Warnes
1977,1970s,35,I've Got Love on My Mind,Natalie Cole
1977,1970s,36,Blinded by the Light,Manfred Mann's Earth Band
1977,1970s,37,Looks Like We Made It,Barry Manilow
1977,1970s,38,So in to You,Atlanta Rhythm Section
1977,1970s,39,Dreams,Fleetwood Mac
1977,1970s,40,Enjoy Yourself,The Jacksons
1977,1970s,41,Dazz,Brick
1977,1970s,42,I'm in You,Peter Frampton
1977,1970s,43,Lucille,Kenny Rogers
1977,1970s,44,The Things We Do for Love,10cc
1977,1970s,45,Da Doo Ron Ron,Shaun Cassidy
1977,1970s,46,Handy Man,James Taylor
1977,1970s,47,Just a Song Before I Go,"Crosby, Stills & Nash"
1977,1970s,48,You and Me,Alice Cooper
1977,1970s,49,Swayin' to the Music (Slow Dancing),Johnny Rivers
1977,1970s,50,Lonely Boy,Andrew Gold
1977,1970s,51,I Wish,Stevie Wonder
1977,1970s,52,Don't Stop,Fleetwood Mac
1977,1970s,53,Barracuda,Heart
1977,1970s,54,Strawberry Letter 23,The Brothers Johnson
1977,1970s,55,Night Moves,Bob Seger & The Silver Bullet Band
1977,1970s,56,You're My World,Helen Reddy
1977,1970s,57,Heard It in a Love Song,The Marshall Tucker Band
1977,1970s,58,Carry On Wayward Son,Kansas
1977,1970s,59,New Kid in Town,Eagles
1977,1970s,60,My Heart Belongs to Me,Barbra Streisand
1977,1970s,61,After the Lovin',Engelbert Humperdinck
1977,1970s,62,Jet Airliner,Steve Miller Band
1977,1970s,63,Stand Tall,Burton Cummings
1977,1970s,64,Way Down,Elvis Presley
1977,1970s,65,Weekend in New England,Barry Manilow
1977,1970s,66,It Was Almost Like a Song,Ronnie Milsap
1977,1970s,67,Smoke from a Distant Fire,Sanford-Townsend Band
1977,1970s,68,Cold as Ice,Foreigner
1977,1970s,69,Ariel,Dean Friedman
1977,1970s,70,Lost Without Your Love,Bread
1977,1970s,71,Star Wars Theme/Cantina Band,Meco
1977,1970s,72,Float On,The Floaters
1977,1970s,73,Jeans On,Lord David Dundas
1977,1970s,74,Lido Shuffle,Boz Scaggs
1977,1970s,75,Keep It Comin' Love,KC and the Sunshine Band
1977,1970s,76,You Made Me Believe in Magic,Bay City Rollers
1977,1970s,77,Livin' Thing,Electric Light Orchestra
1977,1970s,78,Give a Little Bit,Supertramp
1977,1970s,79,That's Rock 'n' Roll,Shaun Cassidy
1977,1970s,80,Love So Right,Bee Gees
1977,1970s,81,The Rubberband Man,The Spinners
1977,1970s,82,I Never Cry,Alice Cooper
1977,1970s,83,Nobody Does It Better,Carly Simon
1977,1970s,84,High School Dance,The Sylvers
1977,1970s,85,Love's Grown Deep,Kenny Nolan
1977,1970s,86,Ain't Gonna Bump No More (With No Big Fat Woman),Joe Tex
1977,1970s,87,I Wanna Get Next to You,Rose Royce
1977,1970s,88,Somebody to Love,Queen
1977,1970s,89,Muskrat Love,Captain & Tennille
1977,1970s,90,Walk This Way,Aerosmith
1977,1970s,91,Cherchez La Femme,Dr. Buzzard's Original Savannah Band
1977,1970s,92,Year of the Cat,Al Stewart
1977,1970s,93,Boogie Nights,Heatwave
1977,1970s,94,Go Your Own Way,Fleetwood Mac
1977,1970s,95,Sorry Seems to Be the Hardest Word,Elton John
1977,1970s,96,Don't Worry Baby,B.J. Thomas
1977,1970s,97,"Knowing Me, Knowing You",ABBA
1977,1970s,98,How Much Love,Leo Sayer
1977,1970s,99,Star Wars (Main Title),London Symphony Orchestra
1977,1970s,100,Devil's Gun,C.J. & Company
1978,1970s,1,Shadow Dancing,Andy Gibb
1978,1970s,2,Night Fever,Bee Gees
1978,1970s,3,You Light Up My Life,Debby Boone
1978,1970s,4,Stayin' Alive,Bee Gees
1978,1970s,5,Kiss You All Over,Exile
1978,1970s,6,How Deep Is Your Love,Bee Gees
1978,1970s,7,Baby Come Back,Player
1978,1970s,8,(Love Is) Thicker Than Water,Andy Gibb
1978,1970s,9,Boogie Oogie Oogie,A Taste of Honey
1978,1970s,10,Three Times a Lady,Commodores
1978,1970s,11,Grease,Frankie Valli
1978,1970s,12,I Go Crazy,Paul Davis
1978,1970s,13,You're the One That I Want,John Travolta & Olivia Newton-John
1978,1970s,14,Emotion,Samantha Sang
1978,1970s,15,Lay Down Sally,Eric Clapton
1978,1970s,16,Miss You,The Rolling Stones
1978,1970s,17,Just the Way You Are,Billy Joel
1978,1970s,18,With a Little Luck,Wings
1978,1970s,19,If I Can't Have You,Yvonne Elliman
1978,1970s,20,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic
1978,1970s,21,Feels So Good,Chuck Mangione
1978,1970s,22,Hot Child in the City,Nick Gilder
1978,1970s,23,Love Is Like Oxygen,Sweet
1978,1970s,24,It's a Heartache,Bonnie Tyler
1978,1970s,25,"We Will Rock You"" / ""We Are the Champions",Queen
1978,1970s,26,Baker Street,Gerry Rafferty
1978,1970s,27,Can't Smile Without You,Barry Manilow
1978,1970s,28,"Too Much, Too Little, Too Late",Johnny Mathis & Deniece Williams
1978,1970s,29,Dance With Me,Peter Brown
1978,1970s,30,Two Out of Three Ain't Bad,Meat Loaf
1978,1970s,31,Jack And Jill,Raydio
1978,1970s,32,Take a Chance on Me,ABBA
1978,1970s,33,Sometimes When We Touch,Dan Hill
1978,1970s,34,Last Dance,Donna Summer
1978,1970s,35,Hopelessly Devoted to You,Olivia Newton-John
1978,1970s,36,Hot Blooded,Foreigner
1978,1970s,37,You're in My Heart (The Final Acclaim),Rod Stewart
1978,1970s,38,The Closer I Get to You,Roberta Flack & Donny Hathaway
1978,1970s,39,Dust in the Wind,Kansas
1978,1970s,40,Magnet and Steel,Walter Egan
1978,1970s,41,Short People,Randy Newman
1978,1970s,42,Use ta Be My Girl,The O'Jays
1978,1970s,43,Our Love,Natalie Cole
1978,1970s,44,Love Will Find a Way,Pablo Cruise
1978,1970s,45,An Everlasting Love,Andy Gibb
1978,1970s,46,Love Is in the Air,John Paul Young
1978,1970s,47,Goodbye Girl,David Gates
1978,1970s,48,Slip Slidin' Away,Paul Simon
1978,1970s,49,The Groove Line,Heatwave
1978,1970s,50,Thunder Island,Jay Ferguson
1978,1970s,51,Imaginary Lover,Atlanta Rhythm Section
1978,1970s,52,Still the Same,Bob Seger & The Silver Bullet Band
1978,1970s,53,My Angel Baby,Toby Beau
1978,1970s,54,Disco Inferno,The Trammps
1978,1970s,55,On Broadway,George Benson
1978,1970s,56,Come Sail Away,Styx
1978,1970s,57,(Every Time I Turn Around) Back in Love Again,L.T.D.
1978,1970s,58,This Time I'm in It for Love,Player
1978,1970s,59,You Belong to Me,Carly Simon
1978,1970s,60,Here You Come Again,Dolly Parton
1978,1970s,61,Blue Bayou,Linda Ronstadt
1978,1970s,62,Peg,Steely Dan
1978,1970s,63,You Needed Me,Anne Murray
1978,1970s,64,Shame,"Evelyn ""Champagne"" King"
1978,1970s,65,Reminiscing,Little River Band
1978,1970s,66,Count On Me,Jefferson Starship
1978,1970s,67,Baby Hold On,Eddie Money
1978,1970s,68,Hey Deanie,Shaun Cassidy
1978,1970s,69,Summer Nights,John Travolta & Olivia Newton-John
1978,1970s,70,What's Your Name,Lynyrd Skynyrd
1978,1970s,71,Don't It Make My Brown Eyes Blue,Crystal Gayle
1978,1970s,72,Because the Night,Patti Smith Group
1978,1970s,73,Every Kinda People,Robert Palmer
1978,1970s,74,Copacabana,Barry Manilow
1978,1970s,75,Always and Forever,Heatwave
1978,1970s,76,You and I,Rick James
1978,1970s,77,Serpentine Fire,"Earth, Wind & Fire"
1978,1970s,78,Sentimental Lady,Bob Welch
1978,1970s,79,Falling,LeBlanc & Carr
1978,1970s,80,Don't Let Me Be Misunderstood,Santa Esmeralda
1978,1970s,81,Bluer Than Blue,Michael Johnson
1978,1970s,82,Running on Empty,Jackson Browne
1978,1970s,83,Whenever I Call You 'Friend',Kenny Loggins & Stevie Nicks
1978,1970s,84,Fool (If You Think It's Over),Chris Rea
1978,1970s,85,Get Off,Foxy
1978,1970s,86,Sweet Talkin' Woman,Electric Light Orchestra
1978,1970s,87,Life's Been Good,Joe Walsh
1978,1970s,88,I Love the Nightlife,Alicia Bridges
1978,1970s,89,You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy
1978,1970s,90,It's So Easy,Linda Ronstadt
1978,1970s,91,Native New Yorker,Odyssey
1978,1970s,92,Flash Light,Parliament
1978,1970s,93,Don't Look Back,Boston
1978,1970s,94,Turn to Stone,Electric Light Orchestra
1978,1970s,95,I Can't Stand the Rain,Eruption
1978,1970s,96,Ebony Eyes,Bob Welch
1978,1970s,97,The Name of the Game,ABBA
1978,1970s,98,We're All Alone,Rita Coolidge
1978,1970s,99,Hollywood Nights,Bob Seger & The Silver Bullet Band
1978,1970s,100,Deacon Blues,Steely Dan
1979,1970s,1,My Sharona,The Knack
1979,1970s,2,Bad Girls,Donna Summer
1979,1970s,3,Le Freak,Chic
1979,1970s,4,Da Ya Think I'm Sexy?,Rod Stewart
1979,1970s,5,Reunited,Peaches & Herb
1979,1970s,6,I Will Survive,Gloria Gaynor
1979,1970s,7,Hot Stuff,Donna Summer
1979,1970s,8,Y.M.C.A.,Village People
1979,1970s,9,Ring My Bell,Anita Ward
1979,1970s,10,Sad Eyes,Robert John
1979,1970s,11,Too Much Heaven,Bee Gees
1979,1970s,12,MacArthur Park,Donna Summer
1979,1970s,13,When You're in Love with a Beautiful Woman,Dr. Hook
1979,1970s,14,Makin' It,David Naughton
1979,1970s,15,Fire,The Pointer Sisters
1979,1970s,16,Tragedy,Bee Gees
1979,1970s,17,A Little More Love,Olivia Newton-John
1979,1970s,18,Heart of Glass,Blondie
1979,1970s,19,What a Fool Believes,The Doobie Brothers
1979,1970s,20,Good Times,Chic
1979,1970s,21,You Don't Bring Me Flowers,Neil Diamond & Barbra Streisand
1979,1970s,22,Knock on Wood,Amii Stewart
1979,1970s,23,Stumblin' In,Suzi Quatro & Chris Norman
1979,1970s,24,Lead Me On,Maxine Nightingale
1979,1970s,25,Shake Your Body (Down to the Ground),The Jacksons
1979,1970s,26,Don't Cry Out Loud,Melissa Manchester
1979,1970s,27,The Logical Song,Supertramp
1979,1970s,28,My Life,Billy Joel
1979,1970s,29,Just When I Needed You Most,Randy VanWarmer
1979,1970s,30,You Can't Change That,Raydio
1979,1970s,31,Shake Your Groove Thing,Peaches & Herb
1979,1970s,32,I'll Never Love This Way Again,Dionne Warwick
1979,1970s,33,Love You Inside Out,Bee Gees
1979,1970s,34,I Want You to Want Me,Cheap Trick
1979,1970s,35,The Main Event/Fight,Barbra Streisand
1979,1970s,36,Mama Can't Buy You Love,Elton John
1979,1970s,37,I Was Made for Dancin',Leif Garrett
1979,1970s,38,After the Love Has Gone,"Earth, Wind & Fire"
1979,1970s,39,Heaven Knows,Donna Summer and Brooklyn Dreams
1979,1970s,40,The Gambler,Kenny Rogers
1979,1970s,41,Lotta Love,Nicolette Larson
1979,1970s,42,Lady,Little River Band
1979,1970s,43,Heaven Must Have Sent You,Bonnie Pointer
1979,1970s,44,Hold the Line,Toto
1979,1970s,45,He's the Greatest Dancer,Sister Sledge
1979,1970s,46,Sharing the Night Together,Dr. Hook
1979,1970s,47,She Believes in Me,Kenny Rogers
1979,1970s,48,In the Navy,Village People
1979,1970s,49,Music Box Dancer,Frank Mills
1979,1970s,50,The Devil Went Down to Georgia,The Charlie Daniels Band
1979,1970s,51,Gold,John Stewart
1979,1970s,52,Goodnight Tonight,Wings
1979,1970s,53,We Are Family,Sister Sledge
1979,1970s,54,Rock 'n' Roll Fantasy,Bad Company
1979,1970s,55,Every 1's a Winner,Hot Chocolate
1979,1970s,56,Take Me Home,Cher
1979,1970s,57,Boogie Wonderland,"Earth, Wind & Fire & The Emotions"
1979,1970s,58,(Our Love) Don't Throw It All Away,Andy Gibb
1979,1970s,59,What You Won't Do for Love,Bobby Caldwell
1979,1970s,60,New York Groove,Ace Frehley
1979,1970s,61,Sultans of Swing,Dire Straits
1979,1970s,62,I Want Your Love,Chic
1979,1970s,63,Chuck E.'s In Love,Rickie Lee Jones
1979,1970s,64,I Love the Nightlife,Alicia Bridges
1979,1970s,65,Ain't No Stoppin' Us Now,McFadden & Whitehead
1979,1970s,66,Lonesome Loser,Little River Band
1979,1970s,67,Renegade,Styx
1979,1970s,68,Love Is the Answer,England Dan & John Ford Coley
1979,1970s,69,Got to Be Real,Cheryl Lynn
1979,1970s,70,Born to Be Alive,Patrick Hernandez
1979,1970s,71,Shine a Little Love,Electric Light Orchestra
1979,1970s,72,I Just Fall in Love Again,Anne Murray
1979,1970s,73,Shake It,Ian Matthews
1979,1970s,74,I Was Made for Lovin' You,Kiss
1979,1970s,75,I Just Wanna Stop,Gino Vannelli
1979,1970s,76,Disco Nights (Rock-Freak),GQ
1979,1970s,77,Ooo Baby Baby,Linda Ronstadt
1979,1970s,78,September,"Earth, Wind & Fire"
1979,1970s,79,Time Passages,Al Stewart
1979,1970s,80,Rise,Herb Alpert
1979,1970s,81,Don't Bring Me Down,Electric Light Orchestra
1979,1970s,82,Promises,Eric Clapton
1979,1970s,83,Get Used to It,Roger Voudouris
1979,1970s,84,How Much I Feel,Ambrosia
1979,1970s,85,Suspicions,Eddie Rabbitt
1979,1970s,86,You Take My Breath Away,Rex Smith
1979,1970s,87,How You Gonna See Me Now,Alice Cooper
1979,1970s,88,Double Vision,Foreigner
1979,1970s,89,Everytime I Think of You,The Babys
1979,1970s,90,I Got My Mind Made Up (You Can Get It Girl),Instant Funk
1979,1970s,91,Don't Stop 'til You Get Enough,Michael Jackson
1979,1970s,92,"Bad Case of Loving You (Doctor, Doctor)",Robert Palmer
1979,1970s,93,Somewhere in the Night,Barry Manilow
1979,1970s,94,We've Got Tonight,Bob Seger & The Silver Bullet Band
1979,1970s,95,Dance the Night Away,Van Halen
1979,1970s,96,Dancin' Shoes,Nigel Olsson
1979,1970s,97,The Boss,Diana Ross
1979,1970s,98,Sail On,Commodores
1979,1970s,99,I Do Love You,GQ
1979,1970s,100,Strange Way,Firefall
1980,1980s,1,Call Me,Blondie
1980,1980s,2,"Another Brick in the Wall, Part II",Pink Floyd
1980,1980s,3,Magic,Olivia Newton-John
1980,1980s,4,Rock with You,Michael Jackson
1980,1980s,5,Do That to Me One More Time,Captain & Tennille
1980,1980s,6,Crazy Little Thing Called Love,Queen
1980,1980s,7,Coming Up,Paul McCartney
1980,1980s,8,Funkytown,Lipps Inc.
1980,1980s,9,It's Still Rock and Roll to Me,Billy Joel
1980,1980s,10,The Rose,Bette Midler
1980,1980s,11,Escape (The Piña Colada Song),Rupert Holmes
1980,1980s,12,Cars,Gary Numan
1980,1980s,13,Cruisin,Smokey Robinson
1980,1980s,14,"Working My Way Back to You/Forgive Me, Girl",The Spinners
1980,1980s,15,Lost in Love,Air Supply
1980,1980s,16,Little Jeannie,Elton John
1980,1980s,17,Ride Like the Wind,Christopher Cross
1980,1980s,18,Upside Down,Diana Ross
1980,1980s,19,Please Don't Go,KC and the Sunshine Band
1980,1980s,20,Babe,Styx
1980,1980s,21,With You I'm Born Again,Billy Preston and Syreeta
1980,1980s,22,Shining Star,The Manhattans
1980,1980s,23,Still,Commodores
1980,1980s,24,"Yes, I'm Ready",Teri DeSario & KC
1980,1980s,25,Sexy Eyes,Dr. Hook
1980,1980s,26,Steal Away,Robbie Dupree
1980,1980s,27,Biggest Part of Me,Ambrosia
1980,1980s,28,This Is It,Kenny Loggins
1980,1980s,29,Cupid/I've Loved You for a Long Time,The Spinners
1980,1980s,30,Let's Get Serious,Jermaine Jackson
1980,1980s,31,Don't Fall in Love with a Dreamer,Kenny Rogers & Kim Carnes
1980,1980s,32,Sailing,Christopher Cross
1980,1980s,33,Longer,Dan Fogelberg
1980,1980s,34,Coward of the County,Kenny Rogers
1980,1980s,35,Ladies' Night,Kool & the Gang
1980,1980s,37,Take Your Time (Do It Right),The S.O.S. Band
1980,1980s,38,No More Tears (Enough Is Enough),Barbra Streisand & Donna Summer
1980,1980s,39,More Love,Kim Carnes
1980,1980s,40,Pop Muzik,M
1980,1980s,41,Brass in Pocket,The Pretenders
1980,1980s,42,Special Lady,"Ray, Goodman & Brown"
1980,1980s,43,Send One Your Love,Stevie Wonder
1980,1980s,44,The Second Time Around,Shalamar
1980,1980s,45,We Don't Talk Anymore,Cliff Richard
1980,1980s,46,Stomp!,The Brothers Johnson
1980,1980s,47,Heartache Tonight,Eagles
1980,1980s,48,Tired of Toein' the Line,Rocky Burnette
1980,1980s,49,Better Love Next Time,Dr. Hook
1980,1980s,50,Him,Rupert Holmes
1980,1980s,51,Against the Wind,Bob Seger and the Silver Bullet Band
1980,1980s,52,On the Radio,Donna Summer
1980,1980s,53,Emotional Rescue,The Rolling Stones
1980,1980s,54,Rise,Herb Alpert
1980,1980s,55,All Out of Love,Air Supply
1980,1980s,56,Cool Change,Little River Band
1980,1980s,57,You're Only Lonely,JD Souther
1980,1980s,58,Desire,Andy Gibb
1980,1980s,59,Let My Love Open the Door,Pete Townshend
1980,1980s,60,Romeo's Tune,Steve Forbert
1980,1980s,61,Daydream Believer,Anne Murray
1980,1980s,62,I Can't Tell You Why,Eagles
1980,1980s,63,Don't Let Go,Isaac Hayes
1980,1980s,64,Don't Do Me Like That,Tom Petty and the Heartbreakers
1980,1980s,65,She's Out of My Life,Michael Jackson
1980,1980s,66,Fame,Irene Cara
1980,1980s,67,Fire Lake,Bob Seger and the Silver Bullet Band
1980,1980s,68,How Do I Make You,Linda Ronstadt
1980,1980s,69,Into the Night,Benny Mardones
1980,1980s,70,Let Me Love You Tonight,Pure Prairie League
1980,1980s,71,Misunderstanding,Genesis
1980,1980s,72,An American Dream,The Dirt Band
1980,1980s,73,One Fine Day,Carole King
1980,1980s,74,Dim All the Lights,Donna Summer
1980,1980s,75,You May Be Right,Billy Joel
1980,1980s,76,Should've Never Let You Go,Neil & Dara Sedaka
1980,1980s,77,Pilot of the Airwaves,Charlie Dore
1980,1980s,78,Hurt So Bad,Linda Ronstadt
1980,1980s,79,Off the Wall,Michael Jackson
1980,1980s,80,I Pledge My Love,Peaches & Herb
1980,1980s,81,The Long Run,Eagles
1980,1980s,82,Stand by Me,Mickey Gilley
1980,1980s,83,Heartbreaker,Pat Benatar
1980,1980s,84,Déjà Vu,Dionne Warwick
1980,1980s,85,Drivin' My Life Away,Eddie Rabbitt
1980,1980s,86,Take the Long Way Home,Supertramp
1980,1980s,87,Sara,Fleetwood Mac
1980,1980s,88,Wait for Me,Daryl Hall & John Oates
1980,1980s,89,Jojo,Boz Scaggs
1980,1980s,90,September Morn,Neil Diamond
1980,1980s,91,Give Me the Night,George Benson
1980,1980s,92,Broken Hearted Me,Anne Murray
1980,1980s,93,You Decorated My Life,Kenny Rogers
1980,1980s,94,Tusk,Fleetwood Mac
1980,1980s,95,I Wanna Be Your Lover,Prince
1980,1980s,96,In America,Charlie Daniels Band
1980,1980s,97,Breakdown Dead Ahead,Boz Scaggs
1980,1980s,98,Ships,Barry Manilow
1980,1980s,99,All Night Long,Joe Walsh
1980,1980s,100,Refugee,Tom Petty and the Heartbreakers
1981,1980s,1,Bette Davis Eyes,Kim Carnes
1981,1980s,2,Endless Love,Diana Ross & Lionel Richie
1981,1980s,3,Lady,Kenny Rogers
1981,1980s,4,(Just Like) Starting Over,John Lennon
1981,1980s,5,Jessie's Girl,Rick Springfield
1981,1980s,6,Celebration,Kool & the Gang
1981,1980s,7,Kiss on My List,Daryl Hall & John Oates
1981,1980s,8,I Love a Rainy Night,Eddie Rabbitt
1981,1980s,9,9 To 5,Dolly Parton
1981,1980s,10,Keep on Loving You,REO Speedwagon
1981,1980s,11,Theme from The Greatest American Hero (Believe It or Not),Joey Scarbury
1981,1980s,12,Morning Train (Nine to Five),Sheena Easton
1981,1980s,13,Being with You,Smokey Robinson
1981,1980s,14,Queen of Hearts,Juice Newton
1981,1980s,15,Rapture,Blondie
1981,1980s,16,A Woman Needs Love (Just Like You Do),Raydio
1981,1980s,17,The Tide Is High,Blondie
1981,1980s,18,Just the Two of Us,"Grover Washington, Jr. & Bill Withers"
1981,1980s,19,Slow Hand,The Pointer Sisters
1981,1980s,20,I Love You,Climax Blues Band
1981,1980s,21,Woman,John Lennon
1981,1980s,22,Sukiyaki,A Taste of Honey
1981,1980s,23,The Winner Takes It All,ABBA
1981,1980s,24,Stars on 45 Medley,Stars on 45
1981,1980s,25,Angel of the Morning,Juice Newton
